id;first_name;last_name;image_url;birthday;status
1;Imogene;Greenfelder;Indiana Cotton SQL;2020-12-15T08:14:31;Active
2;Reed;Kuhic;Mouse;2020-12-15T14:37:13;Inactive
3;Scot;Adams;Guernsey circuit Wooden;2020-12-15T05:44:49;Inactive
4;Elwin;Thompson;Credit Card Account incentivize;2020-12-15T08:25:25;Active
5;Rosie;Davis;Regional ivory;2020-12-15T14:54:36;Inactive
6;Alivia;Medhurst;bypass Frozen;2020-12-15T01:09:27;Inactive
7;Arely;Kunde;payment blue;2020-12-15T16:01:35;Pending
8;Adolf;Kulas;needs-based Cotton;2020-12-15T04:01:25;Pending
9;Pearlie;Considine;schemas Credit Card Account Multi-lateral;2020-12-15T09:27:39;Inactive
10;Tyson;McDermott;Bedfordshire;2020-12-15T18:02:22;Inactive
