id;name;relation_to_you;phone_number;email
1;North Carolina ;invoice Kip virtual;Costa Rican Col;Jena48@yahoo.com
2;scalable Intell;sky blue envisioneer withdrawal;SMTP Personal L;Kaelyn4@gmail.com
3;Infrastructure;Rand Loti;tan;Eloisa22@yahoo.com
4;synthesizing Gl;aggregate AI Rustic;generating navi;Tiffany_Ledner@hotmail.com
5;Avon;azure;deposit;Caitlyn38@gmail.com
6;optical;upward-trending Licensed Jewelery;withdrawal even;Elian.Lemke@yahoo.com
7;e-enable calcul;Factors generate;Chicken;Makayla12@hotmail.com
8;transmitting;payment;Fully-configura;Pearline59@yahoo.com
9;Assurance;input Synergized drive;Bike;Santino.Torphy@yahoo.com
10;homogeneous fee;standardization;white Generic S;Darlene27@gmail.com
