id;last_four;expire_date;tripe_customer_id;card_type
1;Soap Guernsey;hacking haptic;Polarised;VISA
2;niches;solid state Buckinghamshire;back up;VISA
3;Wooden matrix Infrastructure;Accountability;tan Incredible Belarussian Ruble;VISA
4;syndicate;payment;Sleek empower Functionality;VISA
5;bandwidth Gorgeous Soft Hat;Key;throughput EXE;MASTER
6;Garden;French Polynesia Interactions;United States Minor Outlying Islands Designer indigo;MASTER
7;Investment Account GB synergies;Slovenia;Pass;MASTER
8;connecting Awesome Rubber Fish connecting;Islands Illinois;Wallis and Futuna;MASTER
9;Accountability Cedi;protocol Accounts optical;Regional Borders multi-state;MASTER
10;discrete Shoes mobile;salmon;wireless;MASTER
