id;first_name;last_name;image_url;birthday;status
1;Frida;Kuhn;eyeballs;2020-12-15T03:10:02;Pending
2;Nathaniel;Beatty;bypass Pizza initiative;2020-12-15T07:04:50;Pending
3;Raoul;Torphy;data-warehouse analyzing;2020-12-15T11:58:13;Active
4;Doris;Lebsack;envisioneer;2020-12-15T15:03:12;Inactive
5;Letitia;Miller;Personal Loan Account withdrawal;2020-12-15T19:56:46;Inactive
6;Gerardo;Morar;Division;2020-12-15T04:53:52;Pending
7;Norberto;Thompson;array Infrastructure;2020-12-15T17:13:14;Inactive
8;Jacynthe;Schmeler;invoice Station;2020-12-15T02:02:33;Active
9;Dayana;Grimes;Credit Card Account;2020-12-15T16:52:55;Inactive
10;Tiana;Haley;programming;2020-12-15T22:12:20;Inactive
